category_uid,category_name,category_description,category_parent_id
220-101606,"Academic Books","Educational text retail",220-101600
220-101607,"Fiction Books","Novels and stories retail",220-101600
220-101608,"Comics and Manga","Graphic novel retail",220-101600
220-101609,"Art Books","Visual arts publications",220-101600
220-101610,"Religious Books","Spiritual text retail",220-101600
220-101700,"Music Stores","Music and instrument shops",220-100000
220-101800,"Gaming Stores","Video game retail",220-100000
220-101801,"Video Games","Digital game retail",220-101800
220-101802,"Board Games","Tabletop game retail",220-101800
220-101803,"Card Games","Trading card retail",220-101800
220-101804,"Gaming Accessories","Game equipment retail",220-101800
220-101805,"Role Playing Games","RPG supplies retail",220-101800
220-101900,"Beauty Supply","Cosmetics and beauty retail",220-100000
220-101901,Makeup,"Cosmetics retail",220-101900
220-101902,Skincare,"Skin product retail",220-101900
220-101903,"Hair Care","Hair product retail",220-101900
220-101904,"Nail Care","Nail product retail",220-101900
220-101905,Fragrance,"Perfume and cologne retail",220-101900
220-102000,"Health Stores","Health product retail",220-100000
220-102001,Vitamins,"Nutritional supplement retail",220-102000
220-102002,"Natural Remedies","Holistic health products",220-102000
220-102003,"Sports Nutrition","Athletic supplement retail",220-102000
220-102004,"Organic Products","Natural health items",220-102000
220-102005,"Health Equipment","Wellness device retail",220-102000
220-102100,Pharmacies,"Medication and health supplies",220-100000
220-102101,"Prescription Service","Medicine dispensing service",220-102100
220-102102,Over-The-Counter,"Non-prescription retail",220-102100
220-102103,"Medical Supplies","Healthcare item retail",220-102100
220-102104,"Health Screening","Basic health testing",220-102100
220-102105,"Vaccination Service","Immunization services",220-102100
220-102200,"Antique Shops","Vintage item retail",220-100000
220-102201,"Vintage Furniture","Classic furniture retail",220-102200
220-102202,Collectibles,"Rare item retail",220-102200
220-102203,"Vintage Jewelry","Classic jewelry retail",220-102200
220-102204,"Art Antiques","Historic artwork retail",220-102200
220-102205,"Period Decor","Historic decoration retail",220-102200
220-102300,"Specialty Foods","Gourmet food retail",220-100000
220-102301,"Artisan Cheese","Specialty cheese retail",220-102300
220-102302,"Fine Wines","Premium wine retail",220-102300
220-102303,"Exotic Spices","Specialty seasoning retail",220-102300
220-102304,"Gourmet Coffee","Premium coffee retail",220-102300
220-102305,"Imported Foods","International food retail",220-102300
220-102400,"Craft Supplies","Crafting materials retail",220-100000
220-102401,"Art Supplies","Artist material retail",220-102400
220-102402,"Sewing Supplies","Sewing material retail",220-102400
220-102403,"Paper Crafts","Paper craft supplies",220-102400
220-102404,"Jewelry Making","Jewelry craft supplies",220-102400
220-102405,"Fabric Store","Textile material retail",220-102400
220-102500,"Department Stores","Multi-department retail",220-100000
220-102501,"Luxury Department","High-end retail",220-102500
220-102502,"Mid-Range Department","Moderate price retail",220-102500
220-102503,"Discount Department","Budget price retail",220-102500
220-102504,"Online Department","E-commerce retail",220-102500
220-102505,"Outlet Stores","Discount outlet retail",220-102500
220-110000,"Sports & Recreation","Sports facilities and recreational activities",NULL
220-110100,"Fitness Centers","Exercise and workout facilities",220-110000
220-110101,"Weight Training","Strength training facilities",220-110100
220-110102,"Cardio Equipment","Cardiovascular fitness areas",220-110100
220-110103,"CrossFit Gyms","CrossFit training facilities",220-110100
220-110104,"24-Hour Gyms","All-hours fitness access",220-110100
220-110105,"Women-Only Gyms","Female-exclusive facilities",220-110100
220-110200,"Swimming Pools","Aquatic sports facilities",220-110000
220-110201,"Lap Swimming","Exercise swimming lanes",220-110200
220-110202,"Aqua Fitness","Water exercise classes",220-110200
220-110203,"Swim Lessons","Swimming instruction",220-110200
220-110204,"Recreation Pool","Family swimming area",220-110200
220-110205,"Competition Pool","Athletic swimming facility",220-110200
220-110300,"Sports Courts","Multi-purpose sports venues",220-110000
220-110301,"Indoor Courts","Climate controlled courts",220-110300
220-110302,"Outdoor Courts","Open-air sport courts",220-110300
220-110303,Multi-Purpose,"Versatile court spaces",220-110300
220-110304,"Tournament Courts","Competition facilities",220-110300
220-110305,"Practice Courts","Training court facilities",220-110300
220-110400,Baseball/Softball,"Baseball and softball facilities",220-110000
220-110401,"Baseball Fields","Baseball playing grounds",220-110400
220-110402,"Softball Fields","Softball playing grounds",220-110400
220-110403,"Batting Cages","Practice hitting facilities",220-110400
220-110404,"Training Fields","Practice field facilities",220-110400
220-110405,"Tournament Fields","Competition facilities",220-110400
220-110500,Basketball,"Basketball courts and training",220-110000
220-110501,"Indoor Basketball","Indoor court facilities",220-110500
220-110502,"Outdoor Basketball","Outdoor court facilities",220-110500
220-110503,"Training Programs","Skill development programs",220-110500
220-110504,"League Play","Organized team competition",220-110500
220-110505,"Private Coaching","Individual instruction",220-110500
220-110600,Soccer,"Soccer fields and training",220-110000
220-110601,"Indoor Soccer","Indoor field facilities",220-110600
220-110602,"Outdoor Fields","Open-air soccer grounds",220-110600
220-110603,"Youth Programs","Children soccer training",220-110600
220-110604,"Adult Leagues","Adult team competition",220-110600
220-110605,"Soccer Training","Skill development programs",220-110600
220-110700,Tennis,"Tennis courts and instruction",220-110000
220-110701,"Indoor Tennis","Indoor court facilities",220-110700
220-110702,"Outdoor Tennis","Open-air court facilities",220-110700
220-110703,"Private Lessons","Individual instruction",220-110700
220-110704,"Tennis Leagues","Organized competition",220-110700
220-110705,"Junior Tennis","Youth tennis programs",220-110700
220-110800,Golf,"Golf courses and instruction",220-110000
220-110801,"Golf Courses","Full course facilities",220-110800
220-110802,"Driving Range","Practice hitting facility",220-110800
220-110803,"Golf Instruction","Professional teaching",220-110800
220-110804,"Mini Golf","Recreational putting course",220-110800
220-110805,"Pro Shop","Golf equipment retail",220-110800
220-110900,"Martial Arts","Martial arts training facilities",220-110000
220-110901,Karate,"Japanese martial arts",220-110900
220-110902,Taekwondo,"Korean martial arts",220-110900
220-110903,Jiu-Jitsu,"Brazilian ground fighting",220-110900
220-110904,Kickboxing,"Strike combat training",220-110900
220-110905,"Mixed Martial Arts","Combined combat styles",220-110900
220-111000,"Personal Training","Individual fitness coaching",220-110000
220-111001,"One-on-One Training","Individual fitness coaching",220-111000
220-111002,"Sport-Specific Training","Sport focused conditioning",220-111000
220-111003,"Weight Loss Training","Fat loss focused programs",220-111000
220-111004,"Senior Fitness","Elder-focused training",220-111000
220-111005,"Youth Training","Child fitness programs",220-111000
220-111006,"Strength Training","Muscle building programs",220-111000
220-111007,"Weight Loss","Fat reduction training",220-111000
220-111008,"Athletic Training","Sports performance prep",220-111000
220-111009,"Senior Fitness","Elder exercise programs",220-111000
220-111010,Rehabilitation,"Recovery exercise program",220-111000
220-111100,"Group Fitness","Group exercise classes",220-110000
220-111101,"Aerobics Classes","Cardio group exercise",220-111100
220-111102,"HIIT Training","High intensity workouts",220-111100
220-111103,"Spin Classes","Group cycling sessions",220-111100
220-111104,"Boot Camp","Military style fitness",220-111100
220-111105,"Dance Fitness","Rhythm-based exercise",220-111100
220-111200,Yoga/Pilates,"Mind-body fitness studios",220-110000
220-111201,"Hot Yoga","Heated yoga classes",220-111200
220-111202,"Prenatal Yoga","Pregnancy yoga classes",220-111200
220-111203,"Mat Pilates","Floor-based pilates",220-111200
220-111204,"Reformer Pilates","Machine-based pilates",220-111200
220-111205,"Meditation Classes","Mindfulness training",220-111200
220-111206,"Vinyasa Yoga","Flow-based yoga practice",220-111200
220-111207,"Mat Pilates","Floor-based exercises",220-111200
220-111208,"Reformer Pilates","Equipment-based pilates",220-111200
220-111209,"Restorative Yoga","Gentle healing practice",220-111200
220-111210,"Power Yoga","Strength-focused yoga",220-111200
220-111300,"Community Centers","Public recreation facilities",220-110000
220-111301,"Recreation Programs","Community sport activities",220-111300
220-111302,"Fitness Classes","Group exercise programs",220-111300
220-111303,"Youth Activities","Children sport programs",220-111300
220-111304,"Senior Programs","Elder fitness activities",220-111300
220-111305,"Special Events","Community sport events",220-111300
220-111400,"Youth Sports","Children's sports programs",220-110000
220-111401,"Little League","Youth baseball programs",220-111400
220-111402,"Youth Soccer","Children's soccer leagues",220-111400
220-111403,"Youth Basketball","Kids' basketball programs",220-111400
220-111404,"Youth Swimming","Children's swim programs",220-111400
220-111405,"Youth Gymnastics","Kids' gymnastics classes",220-111400
220-111406,"Team Sports","Youth group athletics",220-111400
220-111407,"Individual Sports","Solo sport training",220-111400
220-111408,"Summer Camps","Seasonal sport programs",220-111400
220-111409,"Sport Clinics","Skill development camps",220-111400
220-111410,"After School Sports","Post-school athletics",220-111400
220-111500,"Adult Sports","Adult recreational leagues",220-110000
220-111501,"Recreational Leagues","Casual sport leagues",220-111500
220-111502,"Competitive Teams","Advanced sport leagues",220-111500
220-111503,"Corporate Sports","Business sport leagues",220-111500
220-111504,"Weekend Tournaments","Short-term competitions",220-111500
220-111505,"Pick-up Games","Informal sport matches",220-111500
220-111600,Hiking/Trails,"Outdoor walking and hiking",220-110000
220-111601,"Nature Trails","Scenic hiking paths",220-111600
220-111602,"Mountain Trails","Elevated hiking routes",220-111600
220-111603,"Urban Trails","City walking paths",220-111600
220-111604,"Guided Hikes","Led hiking excursions",220-111600
220-111605,"Trail Running","Off-road running paths",220-111600
220-111700,"Rock Climbing","Climbing facilities and guides",220-110000
220-111701,"Indoor Climbing","Indoor wall facilities",220-111700
220-111702,Bouldering,"Low-height climbing",220-111700
220-111703,"Lead Climbing","Roped ascent climbing",220-111700
220-111704,"Climbing Classes","Technique instruction",220-111700
220-111705,"Equipment Rental","Climbing gear rental",220-111700
220-111800,"Water Sports","Aquatic recreation activities",220-110000
220-111801,"Swimming Lessons","Swim instruction programs",220-111800
220-111802,Surfing,"Surf instruction and rental",220-111800
220-111803,Kayaking,"Kayak tours and rental",220-111800
220-111804,"Scuba Diving","Diving instruction and tours",220-111800
220-111805,"Stand-Up Paddling","Paddleboard instruction",220-111800
220-111806,Kayaking,"Kayak water sports",220-111800
220-111807,Paddleboarding,"SUP water activities",220-111800
220-111808,"Water Skiing","Towed water sports",220-111800
220-111809,Surfing,"Wave riding sports",220-111800
220-111810,"Scuba Diving","Underwater exploration",220-111800
220-111900,"Ice Rinks","Ice skating and hockey facilities",220-110000
220-111901,"Figure Skating","Figure skating programs",220-111900
220-111902,"Ice Hockey","Hockey programs and leagues",220-111900
220-111903,"Public Skating","Open skating sessions",220-111900
220-111904,"Speed Skating","Speed skating training",220-111900
220-111905,"Ice Dancing","Ice dance instruction",220-111900
220-111906,"Public Skating","Open ice sessions",220-111900
220-111907,"Hockey Programs","Ice hockey activities",220-111900
220-111908,"Figure Skating","Artistic ice skating",220-111900
220-111909,"Learn to Skate","Skating instruction",220-111900
220-111910,"Private Ice Time","Reserved rink sessions",220-111900
220-112000,"Dance Studios","Dance instruction facilities",220-110000
220-112001,"Ballet Studio","Classical dance training",220-112000
220-112002,"Hip Hop Dance","Urban dance instruction",220-112000
220-112003,"Contemporary Dance","Modern dance classes",220-112000
220-112004,"Ballroom Dance","Partner dance training",220-112000
220-112005,"Kids Dance","Youth dance programs",220-112000
220-112100,"Indoor Sports","Indoor sports facilities",220-110000
220-112101,"Indoor Soccer","Indoor football facility",220-112100
220-112102,"Indoor Cricket","Indoor cricket facility",220-112100
220-112103,"Indoor Volleyball","Indoor volleyball courts",220-112100
220-112104,"Indoor Baseball","Indoor baseball facility",220-112100
220-112105,"Indoor Athletics","Indoor track facility",220-112100
220-112200,"Sports Medicine","Athletic health services",220-110000
220-112201,"Physical Therapy","Sports injury rehabilitation",220-112200
220-112202,"Sports Massage","Athletic massage therapy",220-112200
220-112203,"Athletic Training","Sports medicine support",220-112200
220-112204,"Injury Prevention","Preventive care programs",220-112200
220-112205,"Performance Recovery","Athletic recovery services",220-112200
220-112206,"Injury Assessment","Sport injury evaluation",220-112200
220-112207,"Recovery Programs","Post-injury treatment",220-112200
220-112208,"Performance Testing","Athletic ability assessment",220-112200
220-112209,"Preventive Care","Injury prevention service",220-112200
220-112210,"Sport Nutrition","Athletic diet planning",220-112200
220-112300,"Sports Training","Athletic skill development",220-110000
220-112301,"Baseball Training","Baseball skill development",220-112300
220-112302,"Basketball Training","Basketball skill coaching",220-112300
220-112303,"Soccer Training","Soccer skill development",220-112300
220-112304,"Tennis Lessons","Tennis instruction",220-112300
220-112305,"Golf Lessons","Golf swing coaching",220-112300
220-112400,"Equipment Rental","Sports equipment rental",220-110000
220-112401,"Winter Sports Gear","Cold weather equipment",220-112400
220-112402,"Water Sport Gear","Aquatic activity gear",220-112400
220-112403,"Camping Equipment","Outdoor adventure gear",220-112400
220-112404,"Fitness Equipment","Exercise machine rental",220-112400
220-112405,"Team Sport Gear","Group sports equipment",220-112400
220-112500,"Adventure Sports","Extreme sports facilities",220-110000
220-112501,"Rock Climbing","Climbing instruction",220-112500
220-112502,"Zip Lining","Aerial adventure courses",220-112500
220-112503,"Mountain Biking","Trail biking programs",220-112500
220-112504,Skydiving,"Parachute jumping instruction",220-112500
220-112505,Paragliding,"Paraglide instruction",220-112500
220-120000,"Travel & Transportation","Travel services and transportation",NULL
220-120100,"Travel Agencies","Trip planning and booking services",220-120000
220-120101,"Leisure Travel","Vacation planning services",220-120100
220-120102,"Business Travel","Corporate travel planning",220-120100
220-120103,"Group Travel","Group trip organization",220-120100
220-120104,"Luxury Travel","High-end travel planning",220-120100
220-120105,"Budget Travel","Economic travel planning",220-120100
220-120200,"Tour Operators","Guided tour services",220-120000
220-120201,"City Tours","Urban sightseeing tours",220-120200
220-120202,"Cultural Tours","Heritage and culture tours",220-120200
220-120203,"Food Tours","Culinary experience tours",220-120200
220-120204,"Wine Tours","Vineyard and winery tours",220-120200
220-120205,"Historical Tours","Historical site tours",220-120200
220-120300,"Travel Planning","Customized trip planning",220-120000
220-120301,"Itinerary Planning","Travel schedule design",220-120300
220-120302,"Route Optimization","Travel path planning",220-120300
220-120303,"Activity Booking","Travel event scheduling",220-120300
220-120304,"Budget Planning","Travel cost management",220-120300
220-120305,"Custom Packages","Personalized trip design",220-120300
220-120400,"Taxi Services","Local taxi transportation",220-120000
220-120401,"Airport Taxi","Airport transfer service",220-120400
220-120402,"City Taxi","Urban transportation",220-120400
220-120403,"Executive Taxi","Premium taxi service",220-120400
220-120404,"Group Taxi","Large party transport",220-120400
220-120405,"Accessible Taxi","Special needs transport",220-120400
220-120500,"Rideshare Services","Peer-to-peer transportation",220-120000
220-120501,"Economy Rides","Standard rideshare service",220-120500
220-120502,"Premium Rides","Luxury rideshare service",220-120500
220-120503,"Shared Rides","Carpool rideshare option",220-120500
220-120504,"Large Vehicle","Group rideshare service",220-120500
220-120505,"Express Pool","Fixed route sharing",220-120500
220-120600,"Shuttle Services","Scheduled shuttle transport",220-120000
220-120601,"Hotel Shuttle","Accommodation transport",220-120600
220-120602,"Airport Shuttle","Airport transfer service",220-120600
220-120603,"Event Shuttle","Special event transport",220-120600
220-120604,"Campus Shuttle","Educational facility transit",220-120600
220-120605,"Corporate Shuttle","Business location transport",220-120600
220-120700,"Car Rental","Vehicle rental services",220-120000
220-120701,"Economy Cars","Budget vehicle rentals",220-120700
220-120702,"Luxury Cars","Premium vehicle rentals",220-120700
220-120703,"SUV Rental","Sport utility vehicle rental",220-120700
220-120704,"Van Rental","Passenger van rentals",220-120700
220-120705,"Long-Term Rental","Extended vehicle rental",220-120700
220-120800,"Luxury Transportation","High-end transport services",220-120000
220-120801,"Limousine Service","Premium car service",220-120800
220-120802,"Executive Cars","Business class transport",220-120800
220-120803,"VIP Transport","High-end transportation",220-120800
220-120804,"Luxury SUV","Premium vehicle service",220-120800
220-120805,"Special Events","Luxury event transport",220-120800
220-120900,"Charter Services","Private vehicle charters",220-120000
220-120901,"Bus Charter","Large group transport",220-120900
220-120902,"Yacht Charter","Private boat rental",220-120900
220-120903,"Jet Charter","Private aircraft service",220-120900
220-120904,"Helicopter Charter","Rotary aircraft service",220-120900
220-120905,"Special Events","Custom charter service",220-120900
220-121000,"Airport Transfer","Airport transportation services",220-120000
220-121001,"Private Transfer","Individual airport service",220-121000
220-121002,"Shared Transfer","Shared airport shuttles",220-121000
220-121003,"VIP Transfer","Premium airport service",220-121000
220-121004,"Group Transfer","Large group airport transit",220-121000
220-121005,"Express Transfer","Fast track airport service",220-121000
220-121100,"Group Transportation","Large group transport services",220-120000
220-121101,"Corporate Groups","Business team transport",220-121100
220-121102,"School Groups","Student group transit",220-121100
220-121103,"Tour Groups","Tourist group transport",220-121100
220-121104,"Sports Teams","Athletic team transport",220-121100
220-121105,"Wedding Groups","Wedding party transit",220-121100
220-121200,"Event Transportation","Special event transport",220-120000
220-121201,"Wedding Transport","Marriage event transit",220-121200
220-121202,"Concert Transfer","Music event transport",220-121200
220-121203,"Conference Transit","Business event transit",220-121200
220-121204,"Festival Transport","Festival event service",220-121200
220-121205,"Sports Events","Athletic event transit",220-121200
220-121300,"Adventure Tours","Outdoor adventure trips",220-120000
220-121301,"Hiking Tours","Guided hiking trips",220-121300
220-121302,"Safari Tours","Wildlife viewing trips",220-121300
220-121303,"Water Sports Tours","Aquatic adventure trips",220-121300
220-121304,"Mountain Tours","Mountain expedition trips",220-121300
220-121305,"Desert Tours","Desert exploration trips",220-121300
220-121400,"Eco Tourism","Environmental tourism services",220-120000
220-121401,"Nature Tours","Environmental excursions",220-121400
220-121402,"Wildlife Tours","Animal observation trips",220-121400
220-121403,"Conservation Tours","Environmental protection",220-121400
220-121404,"Green Lodging","Eco-friendly accommodation",220-121400
220-121405,"Sustainable Travel","Low-impact tourism",220-121400
220-121500,"Expedition Planning","Adventure trip planning",220-120000
220-121501,"Mountain Expeditions","Alpine adventure planning",220-121500
220-121502,"Desert Treks","Arid region exploration",220-121500
220-121503,"Jungle Adventures","Tropical forest trips",220-121500
220-121504,"Arctic Journeys","Polar region travel",220-121500
220-121505,"Research Trips","Scientific expedition plans",220-121500
220-121600,"Corporate Travel","Business travel services",220-120000
220-121601,"Executive Travel","Business leader travel",220-121600
220-121602,"Team Travel","Group business travel",220-121600
220-121603,"Conference Travel","Event attendance travel",220-121600
220-121604,"Meeting Planning","Business meeting travel",220-121600
220-121605,"Incentive Travel","Reward trip planning",220-121600
220-121700,"Conference Planning","Business event travel",220-120000
220-121701,"Venue Selection","Meeting location planning",220-121700
220-121702,"Transport Logistics","Attendee movement plans",220-121700
220-121703,"Group Bookings","Bulk travel arrangements",220-121700
220-121704,"Event Scheduling","Conference timing plans",220-121700
220-121705,"Corporate Events","Business meeting planning",220-121700
220-121800,"Executive Transport","Business transportation",220-120000
220-121801,"Business Travel","Corporate transport service",220-121800
220-121802,"Airport Service","Executive airport transfer",220-121800
220-121803,"Board Meetings","Director transport service",220-121800
220-121804,"Road Shows","Business tour transport",220-121800
220-121805,"Client Transport","Customer travel service",220-121800
220-121900,"Cruise Services","Cruise planning and booking",220-120000
220-121901,"Ocean Cruises","Sea cruise planning",220-121900
220-121902,"River Cruises","River cruise planning",220-121900
220-121903,"Luxury Cruises","Premium cruise services",220-121900
220-121904,"Adventure Cruises","Expedition cruise planning",220-121900
220-121905,"Family Cruises","Family-oriented cruises",220-121900
220-122000,"Railway Travel","Train travel services",220-120000
220-122001,"Express Service","High-speed rail travel",220-122000
220-122002,"Scenic Routes","Tourism rail journeys",220-122000
220-122003,"Sleeper Service","Overnight rail travel",220-122000
220-122004,"Luxury Rail","Premium train service",220-122000
220-122005,"Charter Trains","Private rail transport",220-122000
220-122100,"Air Travel","Flight booking services",220-120000
220-122101,"Domestic Flights","National air travel",220-122100
220-122102,International,"International air service",220-122100
220-122103,"Business Class","Premium air travel",220-122100
220-122104,"Charter Flights","Private air service",220-122100
220-122105,"Group Bookings","Bulk flight reservations",220-122100
220-122200,"Travel Insurance","Trip insurance services",220-120000
220-122201,"Trip Cancellation","Cancellation coverage",220-122200
220-122202,"Medical Insurance","Travel health coverage",220-122200
220-122203,"Baggage Insurance","Luggage loss coverage",220-122200
220-122204,"Adventure Coverage","Extreme sport coverage",220-122200
220-122205,"Business Coverage","Business travel insurance",220-122200
220-122300,"Visa Services","Travel document assistance",220-120000
220-122301,"Tourist Visa","Travel visa processing",220-122300
220-122302,"Business Visa","Work visa processing",220-122300
220-122303,"Student Visa","Education visa service",220-122300
220-122304,"Express Service","Rapid visa processing",220-122300
220-122305,"Visa Consulting","Application guidance",220-122300
220-122400,"Baggage Services","Luggage handling and storage",220-120000
220-122401,"Luggage Storage","Bag storage service",220-122400
220-122402,"Baggage Transfer","Luggage transport service",220-122400
220-122403,"Lost Baggage","Missing item recovery",220-122400
220-122404,"Shipping Service","Luggage forwarding",220-122400
220-122405,"Express Handling","Priority baggage service",220-122400
220-122500,"Travel Assistance","24/7 travel support services",220-120000
220-122501,"Emergency Support","24/7 emergency services",220-122500
220-122502,"Concierge Service","Travel assistance support",220-122500
220-122503,"Language Support","Translation services",220-122500
220-122504,"Medical Assistance","Health emergency support",220-122500
220-122505,"Lost Document Help","Document recovery aid",220-122500
220-130000,"Technology Services","Technology and digital services",NULL
220-130100,"IT Support","Technical support services",220-130000
220-130101,"Desktop Support","Computer troubleshooting",220-130100
220-130102,"Remote Support","Distance IT assistance",220-130100
220-130103,"On-Site Support","In-person technical help",220-130100
220-130104,"Help Desk","24/7 technical assistance",220-130100
220-130105,"System Maintenance","Regular system upkeep",220-130100
220-130200,"Network Services","Network setup and maintenance",220-130000
220-130201,"Network Setup","Infrastructure installation",220-130200
220-130202,"Network Security","Connection protection service",220-130200
220-130203,"Network Monitoring","Connection oversight service",220-130200
220-130204,"Wireless Services","WiFi setup and management",220-130200
220-130205,"VPN Services","Remote access solutions",220-130200
220-130300,"Cloud Services","Cloud computing solutions",220-130000
220-130301,"Cloud Storage","Remote data storage",220-130300
220-130302,"Cloud Computing","Remote processing service",220-130300
220-130303,"Cloud Security","Remote data protection",220-130300
220-130304,"Cloud Migration","System transfer service",220-130300
220-130305,"Cloud Backup","Remote backup solutions",220-130300
220-130400,"Software Development","Custom software creation",220-130000
220-130401,"Custom Software","Bespoke software creation",220-130400
220-130402,"Enterprise Software","Business software development",220-130400
220-130403,"API Development","Application interface creation",220-130400
220-130404,"Software Testing","Quality assurance services",220-130400
220-130405,"Software Integration","System integration services",220-130400
220-130500,"Web Development","Website creation services",220-130000
220-130501,"Frontend Design","User interface development",220-130500
220-130502,"Backend Development","Server-side programming",220-130500
220-130503,"E-commerce Sites","Online store development",220-130500
220-130504,"CMS Development","Content system creation",220-130500
220-130505,"Web Maintenance","Website upkeep service",220-130500
220-130600,"Mobile Development","Mobile app development",220-130000
220-130601,"iOS Development","Apple platform apps",220-130600
220-130602,"Android Development","Google platform apps",220-130600
220-130603,Cross-Platform,"Multi-system development",220-130600
220-130604,"App Maintenance","Mobile software upkeep",220-130600
220-130605,"App Security","Mobile application protection",220-130600
220-130700,Cybersecurity,"Digital security services",220-130000
220-130701,"Security Audits","System security assessment",220-130700
220-130702,"Threat Detection","Security monitoring services",220-130700
220-130703,"Incident Response","Security breach handling",220-130700
220-130704,"Penetration Testing","Security testing services",220-130700
220-130705,"Security Training","Security awareness education",220-130700
220-130800,"Data Protection","Information security services",220-130000
220-130801,"Data Encryption","Information security service",220-130800
220-130802,"Access Control","Data permission management",220-130800
220-130803,"Data Backup","Information preservation",220-130800
220-130804,"Compliance Service","Regulation adherence",220-130800
220-130805,"Data Auditing","Security assessment service",220-130800
220-130900,"Security Consulting","Security advisory services",220-130000
220-130901,"Risk Assessment","Security threat analysis",220-130900
220-130902,"Policy Development","Security guideline creation",220-130900
220-130903,"Security Training","Staff awareness programs",220-130900
220-130904,"Incident Response","Breach handling planning",220-130900
220-130905,"Compliance Review","Security standard checks",220-130900
220-131000,"Data Analytics","Data analysis services",220-130000
220-131001,"Business Intelligence","Data insight services",220-131000
220-131002,"Predictive Analytics","Future trend analysis",220-131000
220-131003,"Big Data Analysis","Large dataset processing",220-131000
220-131004,"Data Visualization","Data presentation services",220-131000
220-131005,"Statistical Analysis","Data statistics services",220-131000
220-131100,"Database Management","Database administration",220-130000
220-131101,"Database Design","Data structure creation",220-131100
220-131102,"Performance Tuning","System optimization",220-131100
220-131103,"Data Migration","Information transfer service",220-131100
220-131104,"Database Security","Data protection service",220-131100
220-131105,"Backup Services","Data preservation system",220-131100
220-131200,"Data Recovery","Data restoration services",220-130000
220-131201,"Hard Drive Recovery","Disk data restoration",220-131200
220-131202,"File Recovery","Document retrieval service",220-131200
220-131203,"System Recovery","Operating system restore",220-131200
220-131204,"Emergency Recovery","Urgent data retrieval",220-131200
220-131205,"Mobile Recovery","Phone data restoration",220-131200
220-131300,"SEO Services","Search engine optimization",220-130000
220-131301,"Content Marketing","Content strategy services",220-131300
220-131302,"Email Marketing","Email campaign management",220-131300
220-131303,"PPC Advertising","Pay-per-click management",220-131300
220-131304,"Analytics Services","Marketing data analysis",220-131300
220-131305,"Conversion Optimization","Website optimization services",220-131300
220-131306,"Keyword Research","Search term analysis",220-131300
220-131307,"On-Page SEO","Website optimization",220-131300
220-131308,"Link Building","Backlink development",220-131300
220-131309,"Local SEO","Regional search optimization",220-131300
220-131310,"SEO Analytics","Performance tracking",220-131300
220-131400,"Social Media","Social media management",220-130000
220-131406,"Content Creation","Social media posts",220-131400
220-131407,"Channel Management","Platform administration",220-131400
220-131408,"Campaign Planning","Social media strategy",220-131400
220-131409,"Analytics Service","Performance measurement",220-131400
220-131410,"Community Management","Audience engagement",220-131400
220-131500,"Digital Advertising","Online advertising services",220-130000
220-131501,"PPC Management","Pay-per-click campaigns",220-131500
220-131502,"Display Ads","Visual advertisement service",220-131500
220-131503,"Social Advertising","Social media promotion",220-131500
220-131504,"Email Marketing","Email campaign service",220-131500
220-131505,"Ad Analytics","Advertisement tracking",220-131500
220-131600,"Computer Repair","Hardware repair services",220-130000
220-131601,"Hardware Repair","Physical component repair",220-131600
220-131602,"Data Recovery","Lost data retrieval",220-131600
220-131603,"Virus Removal","Malware elimination",220-131600
220-131604,"System Upgrades","Hardware improvement",220-131600
220-131605,"PC Optimization","Performance enhancement",220-131600
220-131700,"Device Support","Mobile device services",220-130000
220-131701,"Mobile Support","Phone device assistance",220-131700
220-131702,"Tablet Support","Tablet device service",220-131700
220-131703,"Laptop Support","Portable computer help",220-131700
220-131704,"Printer Support","Printing device service",220-131700
220-131705,"Network Devices","Connection device support",220-131700
220-131800,"Hardware Installation","Equipment setup services",220-130000
220-131801,"Computer Setup","System assembly service",220-131800
220-131802,"Network Setup","Connection hardware install",220-131800
220-131803,"Server Installation","Server hardware setup",220-131800
220-131804,"Peripheral Setup","Device connection service",220-131800
220-131805,"Hardware Upgrade","Component improvement",220-131800
220-131900,"Business Automation","Process automation services",220-130000
220-132000,"Digital Strategy","Technology planning services",220-130000
220-132001,"Digital Planning","Technology roadmap creation",220-132000
220-132002,"Tech Assessment","System evaluation service",220-132000
220-132003,"Innovation Planning","Future tech strategy",220-132000
220-132004,"Digital Training","Technology skill development",220-132000
220-132005,"Change Management","Tech transition support",220-132000
220-132100,"IT Consulting","Technology advisory services",220-130000
220-132101,"System Analysis","Technology assessment",220-132100
220-132102,"IT Planning","Technology strategy",220-132100
220-132103,"Process Improvement","Efficiency optimization",220-132100
220-132104,"Vendor Management","Provider relationship",220-132100
220-132105,"Cost Optimization","Budget efficiency service",220-132100
220-132200,"AI Solutions","Artificial intelligence services",220-130000
220-132201,"Machine Learning","ML implementation services",220-132200
220-132202,"Natural Language","NLP solution services",220-132200
220-132203,"Computer Vision","Visual AI services",220-132200
220-132204,"Chatbot Development","AI chat system creation",220-132200
220-132205,"AI Consulting","AI strategy services",220-132200
220-132300,"IoT Services","Internet of Things solutions",220-130000
220-132301,"IoT Development","IoT solution creation",220-132300
220-132302,"Smart Home","Home automation services",220-132300
220-132303,"Industrial IoT","Industrial automation",220-132300
220-132304,"IoT Security","Connected device security",220-132300
220-132305,"IoT Analytics","Device data analysis",220-132300
220-132400,"Blockchain Services","Blockchain technology solutions",220-130000
